Grizzly ID,Date,Step length,Turning angle,dx,dy
G2,2003-07-01 4:00,739.9672672,NA,273.8462854,-687.429828
G2,2003-07-01 8:00,3878.52869,3.122060271,-1364.71419,3630.50134
G2,2003-07-01 12:00,3260.247907,-2.780229479,2152.023234,-2449.083994
G2,2003-07-01 16:00,274.1184619,-3.002080453,-207.8167664,178.7543644
G2,2003-07-02 0:00,270.6936783,3.106925892,198.9788532,-183.527882
G2,2003-07-02 4:00,5.305526809,2.716527939,-2.069516444,4.885255
G2,2003-07-02 8:00,1802.029172,-1.639250105,1703.47673,587.772207
G2,2003-07-02 12:00,3371.435575,-1.345917624,1782.655796,-2861.593289
G2,2003-07-02 16:00,1427.941675,-0.653399124,-137.2538763,-1421.329941
G2,2003-07-03 0:00,1176.371197,-1.571786229,-1170.811793,114.2319456
G2,2003-07-03 4:00,6957.069906,-0.777704521,-4459.656785,5339.689414
G2,2003-07-03 8:00,4680.299402,1.499508239,-3796.795521,-2736.70354
G2,2003-07-03 12:00,2015.942338,1.551279025,1146.637643,-1658.084927
G2,2003-07-03 16:00,697.409074,-0.028581108,380.1216111,-584.7110203
G2,2003-07-04 0:00,14.96397104,1.002706388,14.96344854,0.125048731
G2,2003-07-04 4:00,2563.202695,-0.732244487,1920.445121,-1697.615562
G2,2003-07-04 12:00,1748.073914,-1.388517724,-901.1591853,-1497.890027
G2,2003-07-04 16:00,1981.314284,0.377897309,-322.917602,-1954.822374
G2,2003-07-04 20:00,5982.440725,1.175801525,5072.759312,-3171.231621
G2,2003-07-05 12:00,713.7946753,-2.843109496,-689.7629965,183.6568734
G2,2003-07-05 16:00,440.4531408,-2.980243668,438.3019234,-43.47865283
G2,2003-07-06 0:00,1392.78341,-0.252865333,1307.509845,-479.8579278
G2,2003-07-06 4:00,6018.397702,1.900359694,133.4557444,6016.917854
G2,2003-07-06 20:00,4.455014503,-1.512443143,4.452099557,0.16113273
G2,2003-07-07 0:00,2372.619346,2.894154261,-2319.869212,497.5232659
G2,2003-07-07 8:00,675.2146425,0.962890462,-493.2967217,-461.0565669
G2,2003-07-07 12:00,2815.687199,0.856537487,105.1976417,-2813.721354
G2,2003-07-07 20:00,8.049195366,-1.893291811,-7.724220005,2.26406081
G2,2003-07-08 0:00,6.944790235,-1.828657686,3.588342324,5.94591547
G2,2003-07-08 4:00,7204.53591,-1.480135961,6479.995282,-3148.809113
G2,2003-07-08 12:00,1658.076316,0.759748346,1580.340552,501.7377906
G2,2003-07-08 16:00,1507.119989,0.587807638,942.4620588,1176.085001
G2,2003-07-09 0:00,44.01798131,0.466240005,9.147002169,43.05711358
G2,2003-07-09 4:00,1850.539423,-2.118444347,1345.188136,-1270.812746
G2,2003-07-09 8:00,7570.193672,-0.423885266,2877.653148,-7001.924349
G2,2003-07-09 12:00,4166.596361,-0.558719537,-699.9178122,-4107.3885
G2,2003-07-09 16:00,3336.878496,0.73343228,1785.628004,-2818.916588
G2,2003-07-09 20:00,561.0026032,0.22823289,399.6462926,-393.7089808
G2,2003-07-10 4:00,3719.056176,-0.533548656,953.7001646,-3594.695375
G2,2003-07-10 8:00,4163.682379,0.206451281,1870.008936,-3720.123323
G2,2003-07-10 12:00,6265.554031,0.037974363,3024.513323,-5487.211175
G2,2003-07-10 16:00,2976.464587,2.769972915,-392.1636951,2950.516747
G2,2003-07-11 0:00,58.17600736,2.255778058,-39.81120833,-42.42069687
G2,2003-07-11 4:00,6935.373471,-1.703066808,-4387.019671,5371.542012
G2,2003-07-11 8:00,3814.468483,-0.123633979,-2030.122526,3229.36098
G2,2003-07-11 12:00,4091.223724,-0.148784427,-1639.920017,3748.169406
G2,2003-07-11 16:00,3511.484775,0.663931477,-3090.942136,1666.313907
G2,2003-07-11 20:00,600.8004809,2.067944867,1.631536529,-600.7982656
G2,2003-07-12 0:00,11.59912108,2.268942352,8.865055411,7.48000016
G2,2003-07-12 4:00,1223.748601,-3.059349342,-867.3030276,-863.3342907
G2,2003-07-12 8:00,2082.816883,0.633821775,-319.2190958,-2058.209255
G2,2003-07-12 12:00,1709.907003,-0.295608012,-742.9462106,-1540.069118
G2,2003-07-12 16:00,3472.351806,0.527049698,269.087491,-3461.909731
G2,2003-07-12 20:00,560.0095738,1.986340916,493.291036,265.0937127
G2,2003-07-13 4:00,2192.238473,2.019708108,-1772.978989,1289.362256
G2,2003-07-13 8:00,6975.033017,-1.328886572,2631.544591,6459.571089
G2,2003-07-13 12:00,976.2517758,-0.537546544,779.3050169,588.0061398
G2,2003-07-13 16:00,2691.357258,-1.361028835,2032.865747,-1763.763234
G2,2003-07-13 20:00,895.2850202,-1.227876181,-325.1816029,-834.1415903
G2,2003-07-14 4:00,8261.091658,-2.145926009,-4826.502554,6704.514038
G2,2003-07-14 16:00,1351.319501,-0.656548632,44.04388394,1350.601544
G2,2003-07-15 0:00,2.062535145,-2.69122574,0.836814504,-1.885150581
G2,2003-07-15 4:00,10612.92095,-2.814921156,-7190.886575,7805.462272
G2,2003-07-15 12:00,579.6027908,0.891978688,-578.3552915,-38.00726121
G2,2003-07-15 16:00,2755.478477,-1.329458864,-832.599213,2626.678547
G2,2003-07-16 0:00,3621.669208,0.337631688,-2176.157743,2894.965515
G2,2003-07-16 12:00,3565.897777,0.172446251,-2599.972057,2440.445094
G2,2003-07-16 16:00,5287.35508,-0.426452208,-2013.051399,4889.145918
G2,2003-07-16 20:00,3679.880348,-0.263374187,-466.8588424,3650.145503
G2,2003-07-17 0:00,3620.476574,0.14156985,-961.4393836,3490.484913
G2,2003-07-17 4:00,1369.860332,1.087916122,-1338.583816,291.0510243
G2,2003-07-17 16:00,7643.081191,2.355038677,4125.370133,-6434.12864
G2,2003-07-18 0:00,4554.817831,-0.217919415,1571.346137,-4275.18851
G2,2003-07-18 4:00,4461.309775,0.08487317,1888.520339,-4041.877761
G2,2003-07-18 8:00,813.9375344,-0.574827583,-111.750389,-806.2295954
G2,2003-07-18 16:00,3102.724852,0.942707786,2236.489077,-2150.585529
G2,2003-07-19 4:00,390.3188309,0.31769451,351.7791538,-169.1159859
G2,2003-07-19 8:00,2548.958018,0.331247711,2531.568031,-297.2377523
G2,2003-07-19 12:00,754.8029103,-0.131319771,731.6733915,-185.4224408
G2,2003-07-19 20:00,525.2746412,-0.576625687,356.4971137,-385.7761743
G2,2003-07-20 0:00,809.5122324,1.047998359,789.4359562,179.1673117
G2,2003-07-20 4:00,2485.780203,-1.01120576,1753.079507,-1762.332392
G2,2003-07-20 8:00,5706.271355,-0.20502167,3116.399223,-4780.124335
G2,2003-07-20 16:00,4005.792422,-0.352432321,894.9363787,-3904.543738
G2,2003-07-20 20:00,4563.984494,0.406452563,2695.351073,-3683.074402
G2,2003-07-21 4:00,6114.876097,-0.057748546,3320.431839,-5134.826392
G2,2003-07-21 8:00,1336.668632,-0.255516051,418.5676312,-1269.442465
G2,2003-07-21 12:00,224.3741014,1.882600498,181.2602225,132.2439757
G2,2003-07-21 20:00,0.78050402,0.956454262,-0.012458001,0.78040459
G2,2003-07-22 0:00,84.79288081,-0.934301918,67.37597502,51.48116768
G2,2003-07-22 4:00,2455.962506,-1.909327155,758.3886736,-2335.936311
G2,2003-07-22 8:00,10910.3625,0.280784841,6112.738427,-9037.16985
G2,2003-07-22 16:00,2169.525136,0.093128213,1377.363984,-1676.218295
G2,2003-07-22 20:00,5.746491332,0.902113782,5.745436993,0.11007449
G2,2003-07-23 0:00,210.2115964,-1.346297414,50.71384791,-204.0025022
G2,2003-07-23 4:00,6491.649025,0.104107981,2212.32613,-6103.041878
G2,2003-07-23 8:00,4220.88479,0.796264638,3842.305616,-1747.156538
G2,2003-07-23 12:00,883.898576,0.03675671,817.5218235,-336.0576748
